Year,Exporter,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2007,China,East Asia & Pacific,Non-Aligned,Yes,Greece,Europe & Central Asia,Armoured Vehicles,IFV,Offensive,61.7,94,Direct Commercial Sale,No,22,20224,6.5,8.2,Yes,Yes,Low,5.2,Accelerating,No,High
2023,United States,North America,NATO,Yes,Bangladesh,South Asia,Naval Vessels,Corvette,Offensive,209.1,122,Foreign Military Sales (FMS),No,31,2561,3.8,3.8,No,No,Low,2.3,Declining,No,Medium
2019,France,Europe & Central Asia,NATO,Yes,Colombia,Latin America & Caribbean,Missiles & Air Defence,Cruise Missile,Offensive,112.0,3,Foreign Military Sales (FMS),No,16,7037,3.9,6.5,Yes,No,Medium,4.6,Stable,No,High
2021,United States,North America,NATO,Yes,Philippines,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,223.7,18,Government-to-Government,No,19,3512,4.5,5.9,Yes,Yes,Low,4.8,Accelerating,No,High
2012,Russia,Europe & Central Asia,Non-Aligned,Yes,Indonesia,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,110.8,19,Bilateral Defence Pact,No,20,4665,5.6,6.7,No,Yes,Medium,1.2,Accelerating,No,Medium
2024,Germany,Europe & Central Asia,NATO,No,Kazakhstan,Europe & Central Asia,Artillery & Ammunition,MLRS,Offensive,63.7,5,Government-to-Government,No,23,10664,4.9,2.6,No,No,High,1.0,Stable,No,Medium
2006,France,Europe & Central Asia,NATO,Yes,Mexico,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,8.6,11,Bilateral Defence Pact,No,24,9481,4.1,5.7,Yes,No,Medium,3.5,Accelerating,No,High
2020,Israel,Middle East & North Africa,Non-NATO Ally,No,Norway,Europe & Central Asia,Combat Aircraft,Fighter Jet,Offensive,760.1,85,Direct Commercial Sale,No,63,81004,9.1,9.1,No,No,High,1.6,Stable,No,Low
2022,United States,North America,NATO,Yes,Bangladesh,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,47.6,158,Government-to-Government,No,16,2730,3.2,4.9,No,No,Low,2.9,Declining,No,Medium
2021,Israel,Middle East & North Africa,Non-NATO Ally,No,Nigeria,Sub-Saharan Africa,Combat Aircraft,Fighter Jet,Offensive,452.9,41,Bilateral Defence Pact,No,53,2190,3.0,5.3,Yes,No,High,2.3,Stable,No,High
2013,Israel,Middle East & North Africa,Non-NATO Ally,No,Egypt,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,37.5,15,Offset Agreement,Yes,29,3616,4.0,2.6,Yes,No,Medium,2.4,Accelerating,No,High
2009,United States,North America,NATO,Yes,Brazil,Latin America & Caribbean,Artillery & Ammunition,MLRS,Offensive,11.6,2,Foreign Military Sales (FMS),Yes,23,8584,4.8,6.6,No,No,Medium,1.8,Declining,No,Low
2019,United States,North America,NATO,Yes,Kenya,Sub-Saharan Africa,Missiles & Air Defence,Cruise Missile,Offensive,216.8,9,Bilateral Defence Pact,No,20,2005,4.5,5.8,Yes,No,Low,3.5,Accelerating,No,High
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Kazakhstan,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,99.5,7,Bilateral Defence Pact,Yes,32,9557,4.7,2.9,No,No,High,2.9,Stable,No,Medium
2013,Russia,Europe & Central Asia,Non-Aligned,Yes,Mexico,Latin America & Caribbean,Armoured Vehicles,MRAP,Defensive,75.1,4,Government-to-Government,Yes,19,10112,3.9,5.6,Yes,No,Medium,5.1,Accelerating,No,High
2022,France,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Combat Aircraft,UAV/Drone,Offensive,798.8,153,Direct Commercial Sale,No,58,920,2.1,2.6,Yes,Yes,Low,6.5,Accelerating,No,High
2020,United States,North America,NATO,Yes,Ukraine,Europe & Central Asia,Combat Aircraft,Trainer/Light Combat,Defensive,454.2,3,Foreign Military Sales (FMS),No,45,3617,2.7,5.7,Yes,Yes,Low,6.2,Stable,No,High
2022,France,Europe & Central Asia,NATO,Yes,Saudi Arabia,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,188.6,70,Direct Commercial Sale,No,48,19981,4.3,2.0,Yes,No,High,5.3,Stable,No,High
2010,Israel,Middle East & North Africa,Non-NATO Ally,No,Peru,Latin America & Caribbean,Missiles & Air Defence,Cruise Missile,Offensive,142.9,19,Foreign Military Sales (FMS),No,42,6973,4.2,6.0,No,No,Medium,1.9,Stable,No,Low
2018,United States,North America,NATO,Yes,Saudi Arabia,Middle East & North Africa,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,5.1,1,Foreign Military Sales (FMS),Yes,29,22637,4.8,1.1,Yes,No,High,4.9,Stable,No,High
2024,Germany,Europe & Central Asia,NATO,No,Mexico,Latin America & Caribbean,Helicopters,Transport Helicopter,Defensive,83.1,22,Foreign Military Sales (FMS),No,19,9614,3.8,5.8,Yes,No,Medium,4.2,Accelerating,No,High
2016,Russia,Europe & Central Asia,Non-Aligned,Yes,Qatar,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,1028.1,11,Bilateral Defence Pact,No,61,68078,6.4,1.8,No,No,High,3.0,Declining,No,Medium
2015,China,East Asia & Pacific,Non-Aligned,Yes,Ukraine,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,592.2,151,Bilateral Defence Pact,No,71,4065,2.5,5.4,Yes,Yes,Low,3.9,Accelerating,No,High
2011,United States,North America,NATO,Yes,Indonesia,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,238.6,56,Multilateral Programme,No,42,4094,5.5,6.5,No,Yes,Medium,2.7,Accelerating,No,Medium
2024,Israel,Middle East & North Africa,Non-NATO Ally,No,Saudi Arabia,Middle East & North Africa,Naval Vessels,Frigate,Offensive,480.1,5,Foreign Military Sales (FMS),No,67,23196,4.8,1.7,Yes,No,High,4.4,Stable,No,High
2017,United States,North America,NATO,Yes,Romania,Europe & Central Asia,Combat Aircraft,Fighter Jet,Offensive,217.3,8,Offset Agreement,Yes,69,15063,5.6,6.9,Yes,No,Low,5.3,Accelerating,No,High
2022,France,Europe & Central Asia,NATO,Yes,Pakistan,South Asia,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,65.8,8,Foreign Military Sales (FMS),Yes,18,1532,2.2,3.6,Yes,Yes,Low,4.6,Stable,No,High
2006,China,East Asia & Pacific,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Missiles & Air Defence,SAM System,Defensive,84.4,6,Foreign Military Sales (FMS),Yes,12,8948,4.2,6.8,No,No,Medium,1.2,Stable,No,Low
2013,Russia,Europe & Central Asia,Non-Aligned,Yes,Brazil,Latin America & Caribbean,Sensors & Electronics,Radar System,Defensive,83.2,1,Direct Commercial Sale,Yes,28,9220,5.4,7.1,No,No,Medium,2.5,Stable,No,Low
2016,Turkey,Europe & Central Asia,NATO,No,Kazakhstan,Europe & Central Asia,Armoured Vehicles,Main Battle Tank,Offensive,66.2,46,Direct Commercial Sale,Yes,15,9971,5.1,3.2,No,No,High,2.3,Stable,No,Medium
2024,South Korea,East Asia & Pacific,Non-NATO Ally,No,Taiwan,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,624.5,5,Direct Commercial Sale,No,26,33995,6.7,8.6,Yes,Yes,Low,6.5,Accelerating,No,High
2022,France,Europe & Central Asia,NATO,Yes,Pakistan,South Asia,Armoured Vehicles,IFV,Offensive,100.6,94,Direct Commercial Sale,No,21,1498,3.6,3.8,Yes,Yes,Low,6.0,Accelerating,No,High
2014,France,Europe & Central Asia,NATO,Yes,Norway,Europe & Central Asia,Armoured Vehicles,MRAP,Defensive,98.7,25,Multilateral Programme,No,8,78976,8.8,9.3,No,No,High,1.5,Stable,No,Low
2009,Germany,Europe & Central Asia,NATO,No,Morocco,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,59.2,54,Foreign Military Sales (FMS),No,40,3777,5.2,4.4,No,Yes,Medium,2.0,Accelerating,No,Medium
2006,Germany,Europe & Central Asia,NATO,No,Indonesia,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,231.1,1,Direct Commercial Sale,No,48,4196,5.9,7.7,No,Yes,Medium,2.4,Accelerating,No,Medium
2020,Spain,Europe & Central Asia,NATO,No,Angola,Sub-Saharan Africa,Naval Vessels,Patrol Boat,Defensive,379.6,44,Direct Commercial Sale,No,63,2628,3.7,3.0,No,No,High,2.1,Stable,No,Medium
2019,United States,North America,NATO,Yes,UAE,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,630.9,4,Multilateral Programme,Yes,47,45702,6.9,2.3,No,No,High,1.7,Accelerating,No,Medium
2018,Turkey,Europe & Central Asia,NATO,No,Japan,East Asia & Pacific,Helicopters,Naval Helicopter,Defensive,121.5,127,Bilateral Defence Pact,Yes,40,41177,8.0,8.2,No,Yes,Low,1.3,Stable,No,Low
2021,Spain,Europe & Central Asia,NATO,No,Singapore,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,99.4,11,Offset Agreement,No,29,66857,8.8,6.6,No,No,Low,1.5,Stable,No,Low
2024,Italy,Europe & Central Asia,NATO,No,Chile,Latin America & Caribbean,Naval Vessels,Frigate,Offensive,208.1,32,Direct Commercial Sale,Yes,51,15240,7.1,7.9,No,No,Medium,2.5,Stable,No,Low
2017,Russia,Europe & Central Asia,Non-Aligned,Yes,Egypt,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,61.8,14,Government-to-Government,Yes,11,3411,4.1,2.9,Yes,No,Medium,5.1,Stable,No,High
2015,France,Europe & Central Asia,NATO,Yes,Nigeria,Sub-Saharan Africa,Sensors & Electronics,Targeting Pod,Offensive,23.4,131,Multilateral Programme,No,15,2223,2.5,4.4,Yes,No,High,5.0,Accelerating,No,High
2017,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Naval Vessels,Frigate,Offensive,609.8,5,Multilateral Programme,No,44,82197,8.7,9.0,No,No,High,2.1,Stable,No,Low
2022,China,East Asia & Pacific,Non-Aligned,Yes,Iraq,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,63.4,2,Government-to-Government,No,13,5042,2.3,3.3,Yes,Yes,High,5.3,Accelerating,No,High
2016,France,Europe & Central Asia,NATO,Yes,India,South Asia,Missiles & Air Defence,Cruise Missile,Offensive,148.6,156,Multilateral Programme,Yes,20,2575,5.3,6.7,Yes,Yes,Low,6.1,Stable,No,High
2008,France,Europe & Central Asia,NATO,Yes,Algeria,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,154.1,16,Bilateral Defence Pact,No,35,3939,4.0,4.1,Yes,Yes,High,3.9,Stable,No,High
2018,United States,North America,NATO,Yes,Angola,Sub-Saharan Africa,Armoured Vehicles,MRAP,Defensive,65.1,158,Foreign Military Sales (FMS),No,6,2296,3.8,2.7,No,No,High,2.2,Declining,No,Medium
2006,Israel,Middle East & North Africa,Non-NATO Ally,No,Brazil,Latin America & Caribbean,Artillery & Ammunition,Mortar System,Offensive,17.6,12,Foreign Military Sales (FMS),No,25,9258,5.2,7.5,No,No,Medium,2.6,Declining,No,Low
2016,Russia,Europe & Central Asia,Non-Aligned,Yes,Peru,Latin America & Caribbean,Sensors & Electronics,EW Suite,Defensive,17.3,4,Foreign Military Sales (FMS),No,6,6574,5.1,6.7,No,No,Medium,2.8,Stable,No,Medium
2020,South Korea,East Asia & Pacific,Non-NATO Ally,No,Australia,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,255.9,7,Government-to-Government,Yes,42,53816,7.3,9.0,No,No,Medium,2.4,Accelerating,No,Low
2019,United Kingdom,Europe & Central Asia,NATO,Yes,Pakistan,South Asia,Naval Vessels,Frigate,Offensive,176.7,2,Government-to-Government,No,58,1426,2.9,4.5,Yes,Yes,Low,5.9,Accelerating,No,High
2024,Germany,Europe & Central Asia,NATO,No,Algeria,Middle East & North Africa,Helicopters,Naval Helicopter,Defensive,176.9,7,Foreign Military Sales (FMS),Yes,17,3757,4.0,3.1,Yes,Yes,High,2.3,Declining,No,High
2018,China,East Asia & Pacific,Non-Aligned,Yes,Algeria,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,322.7,19,Multilateral Programme,Yes,41,4279,3.6,3.1,Yes,Yes,High,3.9,Stable,No,High
2019,Russia,Europe & Central Asia,Non-Aligned,Yes,Nigeria,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,17.5,5,Multilateral Programme,Yes,22,2340,3.2,4.6,Yes,No,High,4.4,Accelerating,No,High
2009,United States,North America,NATO,Yes,Ethiopia,Sub-Saharan Africa,Artillery & Ammunition,MLRS,Offensive,9.0,120,Government-to-Government,No,16,1007,2.6,3.5,Yes,Yes,Low,5.5,Stable,No,High
2012,United States,North America,NATO,Yes,Peru,Latin America & Caribbean,Combat Aircraft,Fighter Jet,Offensive,307.2,13,Bilateral Defence Pact,No,66,7240,4.8,6.1,No,No,Medium,2.9,Declining,No,Medium
2010,United States,North America,NATO,Yes,Norway,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,63.7,144,Government-to-Government,Yes,40,78015,8.2,9.6,No,No,High,2.2,Stable,No,Low
2023,China,East Asia & Pacific,Non-Aligned,Yes,Norway,Europe & Central Asia,Armoured Vehicles,IFV,Offensive,75.5,173,Direct Commercial Sale,Yes,26,77726,9.2,9.4,No,No,High,1.5,Stable,No,Low
2013,France,Europe & Central Asia,NATO,Yes,Peru,Latin America & Caribbean,Sensors & Electronics,C4ISR Package,Defensive,55.0,2,Direct Commercial Sale,No,8,7023,5.3,6.4,No,No,Medium,1.8,Declining,No,Low
2021,France,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Combat Aircraft,Trainer/Light Combat,Defensive,596.9,6,Offset Agreement,Yes,55,965,2.2,2.3,Yes,Yes,Low,2.9,Accelerating,No,High
2013,United States,North America,NATO,Yes,Pakistan,South Asia,Sensors & Electronics,Targeting Pod,Offensive,33.8,50,Government-to-Government,No,11,1486,3.1,4.8,Yes,Yes,Low,4.9,Stable,No,High
2010,United States,North America,NATO,Yes,Brazil,Latin America & Caribbean,Armoured Vehicles,Main Battle Tank,Offensive,79.6,34,Government-to-Government,Yes,18,9618,5.0,6.3,No,No,Medium,2.4,Declining,No,Low
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Pakistan,South Asia,Missiles & Air Defence,SAM System,Defensive,256.0,14,Multilateral Programme,No,39,1522,3.0,3.6,Yes,Yes,Low,2.6,Stable,No,High
2015,Germany,Europe & Central Asia,NATO,No,Japan,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,841.1,3,Direct Commercial Sale,No,69,39072,8.7,8.9,No,Yes,Low,1.5,Accelerating,No,Medium
2023,United States,North America,NATO,Yes,Pakistan,South Asia,Naval Vessels,Patrol Boat,Defensive,449.5,53,Foreign Military Sales (FMS),No,42,1510,2.9,3.9,Yes,Yes,Low,3.6,Accelerating,No,High
2018,United States,North America,NATO,Yes,Poland,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,209.4,77,Direct Commercial Sale,No,32,18316,6.5,7.8,Yes,No,Low,5.2,Accelerating,No,High
2008,Germany,Europe & Central Asia,NATO,No,Australia,East Asia & Pacific,Naval Vessels,Frigate,Offensive,510.7,198,Bilateral Defence Pact,No,48,51610,8.1,8.9,No,No,Medium,2.5,Stable,No,Low
2020,United States,North America,NATO,Yes,Greece,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,231.1,23,Bilateral Defence Pact,No,25,19607,6.9,7.8,Yes,Yes,Low,4.5,Accelerating,No,High
2017,United States,North America,NATO,Yes,Morocco,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,204.3,1,Multilateral Programme,Yes,40,3424,5.3,4.1,No,Yes,Medium,1.2,Stable,No,Medium
2020,China,East Asia & Pacific,Non-Aligned,Yes,Thailand,East Asia & Pacific,Armoured Vehicles,APC,Defensive,13.8,60,Bilateral Defence Pact,No,10,7234,4.1,4.1,No,No,Low,2.6,Accelerating,No,High
2012,Italy,Europe & Central Asia,NATO,No,Poland,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,66.8,3,Government-to-Government,No,20,17413,6.4,7.8,Yes,No,Low,2.0,Stable,No,Medium
2009,United Kingdom,Europe & Central Asia,NATO,Yes,Bangladesh,South Asia,Armoured Vehicles,APC,Defensive,25.8,32,Direct Commercial Sale,No,27,2595,3.9,4.9,No,No,Low,2.4,Declining,No,Low
2019,Germany,Europe & Central Asia,NATO,No,Brazil,Latin America & Caribbean,Combat Aircraft,Fighter Jet,Offensive,562.6,18,Direct Commercial Sale,No,56,10144,5.3,7.0,No,No,Medium,1.3,Stable,No,Low
2022,China,East Asia & Pacific,Non-Aligned,Yes,Colombia,Latin America & Caribbean,Artillery & Ammunition,MLRS,Offensive,59.8,42,Direct Commercial Sale,Yes,19,6747,2.9,7.0,Yes,No,Medium,3.2,Accelerating,No,High
2017,Italy,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Missiles & Air Defence,SAM System,Defensive,82.8,85,Bilateral Defence Pact,No,13,6307,3.8,7.0,Yes,No,Medium,3.7,Stable,No,High
2019,China,East Asia & Pacific,Non-Aligned,Yes,Greece,Europe & Central Asia,Armoured Vehicles,Main Battle Tank,Offensive,139.8,11,Bilateral Defence Pact,No,19,20149,6.8,7.8,Yes,Yes,Low,6.1,Accelerating,No,High
2017,France,Europe & Central Asia,NATO,Yes,Colombia,Latin America & Caribbean,Armoured Vehicles,MRAP,Defensive,89.4,2,Bilateral Defence Pact,Yes,20,6087,4.5,6.3,Yes,No,Medium,6.3,Accelerating,No,High
2009,Russia,Europe & Central Asia,Non-Aligned,Yes,Bangladesh,South Asia,Armoured Vehicles,IFV,Offensive,5.3,30,Foreign Military Sales (FMS),No,8,3000,4.2,4.3,No,No,Low,2.3,Accelerating,No,High
2021,Turkey,Europe & Central Asia,NATO,No,Indonesia,East Asia & Pacific,Sensors & Electronics,EW Suite,Defensive,17.3,109,Multilateral Programme,No,22,4227,4.8,6.9,No,Yes,Medium,0.9,Accelerating,No,Medium
2021,France,Europe & Central Asia,NATO,Yes,Singapore,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,26.5,10,Foreign Military Sales (FMS),No,7,59430,8.9,5.8,No,No,Low,1.1,Accelerating,No,Low
2008,China,East Asia & Pacific,Non-Aligned,Yes,Kenya,Sub-Saharan Africa,Combat Aircraft,Trainer/Light Combat,Defensive,552.5,119,Multilateral Programme,No,24,2129,4.6,5.4,Yes,No,Low,3.5,Declining,No,High
2018,United States,North America,NATO,Yes,India,South Asia,Combat Aircraft,UAV/Drone,Offensive,259.6,1,Foreign Military Sales (FMS),No,27,2673,5.5,6.0,Yes,Yes,Low,3.8,Accelerating,No,High
2016,United Kingdom,Europe & Central Asia,NATO,Yes,Singapore,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,96.4,4,Offset Agreement,Yes,42,62627,8.3,5.9,No,No,Low,1.2,Stable,No,Low
2012,Italy,Europe & Central Asia,NATO,No,Kenya,Sub-Saharan Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,82.7,2,Direct Commercial Sale,No,38,2067,4.8,5.0,Yes,No,Low,3.5,Accelerating,No,High
2017,China,East Asia & Pacific,Non-Aligned,Yes,Norway,Europe & Central Asia,Artillery & Ammunition,Mortar System,Offensive,83.9,116,Direct Commercial Sale,No,14,82220,9.1,9.3,No,No,High,2.1,Accelerating,No,Low
2023,Germany,Europe & Central Asia,NATO,No,Pakistan,South Asia,Naval Vessels,Frigate,Offensive,443.4,112,Direct Commercial Sale,No,54,1317,3.1,3.7,Yes,Yes,Low,2.4,Declining,No,High
2013,France,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Armoured Vehicles,APC,Defensive,49.9,25,Direct Commercial Sale,No,29,1015,1.8,3.1,Yes,Yes,Low,2.8,Stable,No,High
2016,France,Europe & Central Asia,NATO,Yes,Poland,Europe & Central Asia,Armoured Vehicles,Main Battle Tank,Offensive,17.6,60,Foreign Military Sales (FMS),No,24,17674,6.2,7.6,Yes,No,Low,4.5,Stable,No,Medium
2021,United States,North America,NATO,Yes,Philippines,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,410.8,1,Offset Agreement,Yes,50,3400,4.4,5.3,Yes,Yes,Low,6.3,Stable,No,High
2022,United Kingdom,Europe & Central Asia,NATO,Yes,Australia,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,73.4,189,Multilateral Programme,No,19,48389,8.2,9.1,No,No,Medium,1.9,Stable,No,Low
2023,Russia,Europe & Central Asia,Non-Aligned,Yes,Morocco,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,48.5,26,Foreign Military Sales (FMS),No,15,3559,5.9,4.1,No,Yes,Medium,1.1,Stable,No,Medium
2005,United States,North America,NATO,Yes,Kazakhstan,Europe & Central Asia,Sensors & Electronics,Targeting Pod,Offensive,72.8,2,Foreign Military Sales (FMS),No,23,9514,4.8,3.1,No,No,High,1.3,Stable,No,Medium
2017,Italy,Europe & Central Asia,NATO,No,Pakistan,South Asia,Artillery & Ammunition,Mortar System,Offensive,27.3,110,Multilateral Programme,Yes,28,1451,3.1,3.0,Yes,Yes,Low,4.2,Accelerating,No,High
2018,United Kingdom,Europe & Central Asia,NATO,Yes,South Korea,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,82.6,114,Foreign Military Sales (FMS),Yes,26,36626,6.4,7.8,Yes,Yes,Low,2.5,Accelerating,No,High
2017,Israel,Middle East & North Africa,Non-NATO Ally,No,Kenya,Sub-Saharan Africa,Armoured Vehicles,APC,Defensive,83.1,175,Direct Commercial Sale,Yes,9,1833,4.3,6.0,Yes,No,Low,5.7,Stable,No,Medium
2024,France,Europe & Central Asia,NATO,Yes,Pakistan,South Asia,Armoured Vehicles,MRAP,Defensive,111.5,2,Government-to-Government,No,17,1535,2.3,4.1,Yes,Yes,Low,3.5,Stable,No,High
2013,Germany,Europe & Central Asia,NATO,No,Kazakhstan,Europe & Central Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,274.3,46,Government-to-Government,No,45,10223,5.3,2.1,No,No,High,0.8,Accelerating,No,Medium
2018,Germany,Europe & Central Asia,NATO,No,Pakistan,South Asia,Helicopters,Attack Helicopter,Offensive,126.7,194,Bilateral Defence Pact,Yes,36,1418,3.2,3.8,Yes,Yes,Low,5.3,Accelerating,No,High
2011,United Kingdom,Europe & Central Asia,NATO,Yes,Ethiopia,Sub-Saharan Africa,Naval Vessels,Corvette,Offensive,379.5,134,Offset Agreement,Yes,35,948,2.4,3.3,Yes,Yes,Low,5.3,Declining,No,High
2016,Italy,Europe & Central Asia,NATO,No,Qatar,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,113.5,23,Direct Commercial Sale,No,8,63964,6.6,1.8,No,No,High,2.6,Declining,No,Low
2024,United States,North America,NATO,Yes,Philippines,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,30.0,38,Bilateral Defence Pact,Yes,27,3292,4.9,6.1,Yes,Yes,Low,4.6,Stable,No,High
2022,United States,North America,NATO,Yes,Brazil,Latin America & Caribbean,Sensors & Electronics,Radar System,Defensive,40.7,48,Government-to-Government,No,20,9208,4.7,6.7,No,No,Medium,2.5,Accelerating,No,Medium
2014,Turkey,Europe & Central Asia,NATO,No,Vietnam,East Asia & Pacific,Naval Vessels,Submarine,Offensive,349.3,3,Direct Commercial Sale,No,52,3709,6.6,2.2,No,Yes,Low,1.0,Declining,No,Medium
2013,China,East Asia & Pacific,Non-Aligned,Yes,Algeria,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,331.8,1,Direct Commercial Sale,No,42,4180,4.0,3.1,Yes,Yes,High,2.1,Accelerating,No,High
2014,France,Europe & Central Asia,NATO,Yes,Iraq,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,410.8,16,Government-to-Government,No,45,5186,2.1,3.5,Yes,Yes,High,2.6,Accelerating,No,High
2022,United States,North America,NATO,Yes,UAE,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,360.0,20,Direct Commercial Sale,Yes,67,44220,7.3,3.6,No,No,High,0.8,Declining,No,Medium
2009,France,Europe & Central Asia,NATO,Yes,Ukraine,Europe & Central Asia,Naval Vessels,Corvette,Offensive,122.3,13,Government-to-Government,No,55,4048,3.6,5.8,Yes,Yes,Low,5.5,Stable,No,High
2020,Russia,Europe & Central Asia,Non-Aligned,Yes,Chile,Latin America & Caribbean,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,35.3,130,Bilateral Defence Pact,No,19,15526,6.8,8.3,No,No,Medium,1.7,Declining,No,Low
2017,Germany,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Sensors & Electronics,Radar System,Defensive,17.1,2,Multilateral Programme,No,17,6358,4.3,6.6,Yes,No,Medium,3.7,Declining,No,Medium
2012,France,Europe & Central Asia,NATO,Yes,Taiwan,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,43.3,30,Government-to-Government,No,46,30234,5.4,8.3,Yes,Yes,Low,5.9,Declining,No,Medium
2014,China,East Asia & Pacific,Non-Aligned,Yes,Greece,Europe & Central Asia,Armoured Vehicles,APC,Defensive,89.3,34,Foreign Military Sales (FMS),Yes,7,22078,6.1,7.4,Yes,Yes,Low,5.1,Stable,No,Medium
2012,Italy,Europe & Central Asia,NATO,No,Vietnam,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,144.5,131,Foreign Military Sales (FMS),Yes,17,3575,5.9,1.6,No,Yes,Low,1.6,Accelerating,No,High
2016,Spain,Europe & Central Asia,NATO,No,South Korea,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,63.5,1,Direct Commercial Sale,No,18,35287,6.5,8.4,Yes,Yes,Low,5.7,Accelerating,No,High
2015,Russia,Europe & Central Asia,Non-Aligned,Yes,Taiwan,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,35.9,9,Government-to-Government,No,17,34978,5.9,9.0,Yes,Yes,Low,2.2,Accelerating,No,High
2013,Israel,Middle East & North Africa,Non-NATO Ally,No,Ukraine,Europe & Central Asia,Combat Aircraft,Fighter Jet,Offensive,454.0,21,Government-to-Government,No,54,4203,2.9,5.5,Yes,Yes,Low,2.8,Accelerating,Yes,High
2024,Russia,Europe & Central Asia,Non-Aligned,Yes,India,South Asia,Small Arms & Light Weapons,ATGM,Offensive,5.3,37,Foreign Military Sales (FMS),No,28,2386,5.6,6.2,Yes,Yes,Low,4.5,Stable,No,High
2012,United States,North America,NATO,Yes,Angola,Sub-Saharan Africa,Sensors & Electronics,Targeting Pod,Offensive,51.7,1,Offset Agreement,Yes,9,2626,3.5,3.5,No,No,High,2.8,Accelerating,No,High
2006,Germany,Europe & Central Asia,NATO,No,Chile,Latin America & Caribbean,Helicopters,Attack Helicopter,Offensive,19.2,43,Government-to-Government,No,43,14093,7.4,7.9,No,No,Medium,1.8,Declining,No,Low
